@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

monks-3.train,4,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,4,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,4,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,4,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,4,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0.001,0,0,0,1209,11933,3603,?
monks-3.train,5,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,109,13,7,6,0,53.846154,46.153846,0,0,0.499653,0.499674,100,100,12.987764,12.987764,0,0.999059,0.999059,0,0,0,0,1,7,1,6,0,0,0,0,0.538462,1,0.7,0.5,0.538462,0.538462,0.461538,0.461538,0.289941,0.538462,0.376923,0.5,0,0,0,0,1209,11848,3688,?
monks-3.train,5,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,109,13,7,6,0,53.846154,46.153846,0,0,0.499653,0.499674,100,100,12.987764,12.987764,0,0.999059,0.999059,0,0,0,0,1,7,1,6,0,0,0,0,0.538462,1,0.7,0.5,0.538462,0.538462,0.461538,0.461538,0.289941,0.538462,0.376923,0.5,0,0,0,0,1209,11848,3688,?
monks-3.train,5,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0.001,0,0.0156,0,1209,11933,3603,?
monks-3.train,5,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,5,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,5,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0.001,0,0,0,1209,11933,3603,?
monks-3.train,5,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,5,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,5,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,5,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,6,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,109,13,7,6,0,53.846154,46.153846,0,0,0.499653,0.499674,100,100,12.987764,12.987764,0,0.999059,0.999059,0,0,0,0,1,7,1,6,0,0,0,0,0.538462,1,0.7,0.5,0.538462,0.538462,0.461538,0.461538,0.289941,0.538462,0.376923,0.5,0,0,0,0,1209,11848,3688,?
monks-3.train,6,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,109,13,7,6,0,53.846154,46.153846,0,0,0.499653,0.499674,100,100,12.987764,12.987764,0,0.999059,0.999059,0,0,0,0,1,7,1,6,0,0,0,0,0.538462,1,0.7,0.5,0.538462,0.538462,0.461538,0.461538,0.289941,0.538462,0.376923,0.5,0.001,0,0.0156,0,1209,11848,3688,?
monks-3.train,6,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,6,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,6,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,6,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,6,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,6,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,6,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,6,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,7,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,109,13,7,6,0,53.846154,46.153846,0,0,0.499653,0.499674,100,100,12.987764,12.987764,0,0.999059,0.999059,0,0,0,0,1,7,1,6,0,0,0,0,0.538462,1,0.7,0.5,0.538462,0.538462,0.461538,0.461538,0.289941,0.538462,0.376923,0.5,0,0,0,0,1209,11848,3688,?
monks-3.train,7,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,109,13,7,6,0,53.846154,46.153846,0,0,0.499653,0.499674,100,100,12.987764,12.987764,0,0.999059,0.999059,0,0,0,0,1,7,1,6,0,0,0,0,0.538462,1,0.7,0.5,0.538462,0.538462,0.461538,0.461538,0.289941,0.538462,0.376923,0.5,0,0,0,0,1209,11848,3688,?
monks-3.train,7,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,7,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
monks-3.train,7,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20110110.2326,110,12,6,6,0,50,50,0,0,0.5,0.50008,100,100,12.002761,12.002761,0,1.00023,1.00023,0,0,0,0,1,6,1,6,0,0,0,0,0.5,1,0.666667,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0.5,0,0,0,0,1209,11933,3603,?
